TotalTime	Timestep	MeanEpisodeReward	MaxMeanReturn
161.73424887657166	60000	-20.1875	-inf
233.0196568965912	70000	-20.2	-inf
303.58835077285767	80000	-20.2	-inf
374.282390832901	90000	-20.216494845360824	-inf
445.04703855514526	100000	-20.26	-20.22
515.955593585968	110000	-20.26	-20.22
588.3676841259003	120000	-20.28	-20.22
659.4966244697571	130000	-20.33	-20.22
730.8564283847809	140000	-20.38	-20.22
802.3436090946198	150000	-20.4	-20.22
873.9839911460876	160000	-20.41	-20.22
945.6278495788574	170000	-20.43	-20.22
1017.4819710254669	180000	-20.46	-20.22
1089.44548869133	190000	-20.36	-20.22
1163.1568987369537	200000	-20.33	-20.22
1235.5088407993317	210000	-20.34	-20.22
1307.7234959602356	220000	-20.31	-20.22
1380.1671133041382	230000	-20.27	-20.22
1452.7763640880585	240000	-20.23	-20.22
1525.4103355407715	250000	-20.22	-20.22
1598.2085316181183	260000	-20.26	-20.2
1671.172490119934	270000	-20.22	-20.2
1744.1736524105072	280000	-20.24	-20.19
1817.3493602275848	290000	-20.3	-20.19
1890.626470565796	300000	-20.3	-20.19
1964.007244348526	310000	-20.25	-20.19
2039.0536694526672	320000	-20.2	-20.19
2112.7051119804382	330000	-20.26	-20.19
2186.372225999832	340000	-20.2	-20.19
2260.360116481781	350000	-20.18	-20.18
2334.459396123886	360000	-20.11	-20.1
2408.682797908783	370000	-20.11	-20.1
2482.9969503879547	380000	-20.08	-20.06
2557.379465341568	390000	-20.0	-20.0
2631.864727973938	400000	-20.01	-19.99
2706.591389656067	410000	-19.99	-19.97
2781.5025491714478	420000	-19.98	-19.95
2856.408322572708	430000	-19.97	-19.94
2931.3315210342407	440000	-19.9	-19.9
3006.557879447937	450000	-19.76	-19.76
3081.812839269638	460000	-19.78	-19.74
3157.217188358307	470000	-19.66	-19.66
3232.760754585266	480000	-19.61	-19.61
3308.3552873134613	490000	-19.58	-19.58
3386.0464930534363	500000	-19.52	-19.52
3461.9644606113434	510000	-19.38	-19.37
3538.07244181633	520000	-19.34	-19.32
3614.1356823444366	530000	-19.29	-19.29
3690.38325381279	540000	-19.19	-19.19
3766.86461520195	550000	-19.01	-19.01
3843.2691781520844	560000	-18.97	-18.95
3919.9535341262817	570000	-19.02	-18.95
3996.600974082947	580000	-18.96	-18.95
4073.591737985611	590000	-18.87	-18.87
4150.551073789597	600000	-18.79	-18.77
4227.70107793808	610000	-18.73	-18.72
4304.960097789764	620000	-18.57	-18.57
4382.176626205444	630000	-18.44	-18.44
4459.816880702972	640000	-18.4	-18.4
4537.456733226776	650000	-18.35	-18.35
4615.173993349075	660000	-18.22	-18.22
4693.172677993774	670000	-18.01	-18.01
4771.041281700134	680000	-17.89	-17.89
4849.350556612015	690000	-17.77	-17.77
4927.541988611221	700000	-17.75	-17.75
5005.890346288681	710000	-17.54	-17.54
5084.420062303543	720000	-17.46	-17.46
5162.975283622742	730000	-17.4	-17.38
5241.817866802216	740000	-17.26	-17.26
5320.79506444931	750000	-17.12	-17.12
5399.800038576126	760000	-17.15	-17.1
5479.115522623062	770000	-16.88	-16.88
5558.377769947052	780000	-16.72	-16.72
5637.711942911148	790000	-16.58	-16.58
5717.335464954376	800000	-16.46	-16.46
5796.873000860214	810000	-16.43	-16.43
5876.651022434235	820000	-16.42	-16.37
5956.457520484924	830000	-16.31	-16.3
6036.517607688904	840000	-16.14	-16.14
6116.603486776352	850000	-16.07	-16.07
6196.868785619736	860000	-15.87	-15.87
6281.333797931671	870000	-15.79	-15.79
6361.82989692688	880000	-15.68	-15.68
6442.518711566925	890000	-15.56	-15.56
6523.268649816513	900000	-15.41	-15.41
6604.019754886627	910000	-15.2	-15.2
6684.974115371704	920000	-15.03	-15.03
6766.110954999924	930000	-14.92	-14.91
6847.276167869568	940000	-14.76	-14.76
6928.571253299713	950000	-14.6	-14.6
7009.864900112152	960000	-14.3	-14.3
7091.488514661789	970000	-14.28	-14.28
7173.146457672119	980000	-14.12	-14.1
7254.980623245239	990000	-13.8	-13.8
7336.990104675293	1000000	-13.51	-13.51
7419.063525915146	1010000	-13.35	-13.35
7501.041050672531	1020000	-13.29	-13.29
7583.0918617248535	1030000	-13.04	-13.04
7665.059555768967	1040000	-12.9	-12.9
7747.103164672852	1050000	-12.63	-12.63
7829.101722955704	1060000	-12.33	-12.33
7911.124644994736	1070000	-12.13	-12.13
7993.215925693512	1080000	-12.04	-12.04
8075.251856327057	1090000	-11.92	-11.92
8157.309101104736	1100000	-11.69	-11.69
8239.479539871216	1110000	-11.47	-11.46
8321.51765370369	1120000	-11.2	-11.2
8403.507508516312	1130000	-11.04	-11.01
8485.505326271057	1140000	-11.02	-10.98
8567.597044467926	1150000	-10.8	-10.8
8649.648188352585	1160000	-10.53	-10.53
8731.784433364868	1170000	-10.47	-10.47
8813.8460688591	1180000	-10.2	-10.2
8896.018622875214	1190000	-10.33	-10.2
8978.145425796509	1200000	-10.32	-10.2
9060.204789876938	1210000	-10.22	-10.2
9142.31727695465	1220000	-10.09	-10.09
9224.505611419678	1230000	-9.82	-9.82
9306.746134996414	1240000	-9.77	-9.74
9388.931917905807	1250000	-9.57	-9.57
9471.124836206436	1260000	-9.4	-9.4
9553.275702238083	1270000	-9.33	-9.33
9635.481666088104	1280000	-9.5	-9.3
9717.635931968689	1290000	-9.48	-9.3
9799.834978342056	1300000	-9.35	-9.3
9882.112571716309	1310000	-9.21	-9.18
9964.39187836647	1320000	-9.22	-9.17
10046.746042013168	1330000	-9.24	-9.17
10129.081122636795	1340000	-9.36	-9.17
10211.430377721786	1350000	-9.19	-9.17
10293.82756781578	1360000	-8.99	-8.99
10376.162381649017	1370000	-8.79	-8.79
10458.537206888199	1380000	-8.55	-8.46
10540.898709535599	1390000	-8.44	-8.44
10623.182281970978	1400000	-8.26	-8.26
10705.436098098755	1410000	-8.11	-8.11
10787.777635335922	1420000	-8.17	-8.11
10870.190497159958	1430000	-7.98	-7.97
10952.51560807228	1440000	-7.81	-7.65
11035.018490076065	1450000	-7.58	-7.53
11117.438446998596	1460000	-7.41	-7.38
11199.827576875687	1470000	-7.22	-7.22
11282.215339422226	1480000	-7.18	-7.16
11364.657882928848	1490000	-6.97	-6.97
11447.129968643188	1500000	-6.87	-6.83
11529.55114865303	1510000	-6.9	-6.83
11611.949563264847	1520000	-6.72	-6.72
11694.502245903015	1530000	-6.69	-6.67
11776.951093196869	1540000	-6.74	-6.61
11859.444442749023	1550000	-6.3	-6.3
11941.880608320236	1560000	-6.04	-6.0
12024.413673877716	1570000	-5.84	-5.84
12106.92473769188	1580000	-5.7	-5.7
12189.348023176193	1590000	-5.45	-5.45
12271.99318242073	1600000	-4.89	-4.89
12354.508133172989	1610000	-4.62	-4.62
12437.077533960342	1620000	-4.5	-4.5
12519.56876039505	1630000	-4.12	-4.12
12602.148466348648	1640000	-3.79	-3.79
12684.573328018188	1650000	-3.48	-3.48
12767.543287038803	1660000	-3.12	-3.12
12855.515264987946	1670000	-2.7	-2.7
12939.71908712387	1680000	-2.58	-2.58
13022.305630683899	1690000	-2.25	-2.25
13104.880317687988	1700000	-2.19	-2.19
13187.426925420761	1710000	-1.95	-1.95
13270.079639434814	1720000	-1.53	-1.53
13352.748874664307	1730000	-1.27	-1.27
13435.364538908005	1740000	-1.08	-1.06
13518.044053077698	1750000	-0.69	-0.69
13600.69345831871	1760000	-0.31	-0.31
13683.424431562424	1770000	0.05	0.05
13766.196527004242	1780000	0.22	0.22
13848.91785120964	1790000	0.19	0.27
13931.569038391113	1800000	0.62	0.62
14014.206952095032	1810000	0.93	0.93
14096.944976568222	1820000	1.06	1.1
14179.61787033081	1830000	1.47	1.47
14262.306007623672	1840000	1.7	1.7
14345.065403938293	1850000	2.23	2.23
14427.750193834305	1860000	2.94	2.94
14510.417230129242	1870000	3.33	3.33
14593.154619455338	1880000	3.92	3.92
14675.964669942856	1890000	4.53	4.53
14758.630002260208	1900000	4.76	4.76
14841.35645699501	1910000	5.36	5.36
14924.106332302094	1920000	5.7	5.75
15006.805330991745	1930000	6.0	6.0
15089.599691152573	1940000	6.05	6.06
