TotalTime	Timestep	MeanEpisodeReward	MaxMeanReturn
143.54829096794128	60000	-20.307692307692307	-inf
195.80929279327393	70000	-20.32894736842105	-inf
247.7037069797516	80000	-20.302325581395348	-inf
299.69633436203003	90000	-20.31958762886598	-inf
351.8146276473999	100000	-20.3	-20.28
403.94453477859497	110000	-20.3	-20.28
457.9210844039917	120000	-20.27	-20.27
510.3446819782257	130000	-20.22	-20.22
562.8879792690277	140000	-20.18	-20.17
615.5668926239014	150000	-20.19	-20.15
668.3089156150818	160000	-20.18	-20.15
721.1790668964386	170000	-20.2	-20.15
774.1686072349548	180000	-20.12	-20.12
827.1964657306671	190000	-20.13	-20.12
880.4475200176239	200000	-20.09	-20.06
934.8526654243469	210000	-20.11	-20.05
987.5363330841064	220000	-20.12	-20.05
1040.4009108543396	230000	-20.19	-20.05
1093.399792432785	240000	-20.18	-20.05
1146.3784947395325	250000	-20.17	-20.05
1199.6198756694794	260000	-20.24	-20.05
1252.9527776241302	270000	-20.23	-20.05
1306.2754638195038	280000	-20.32	-20.05
1359.7074942588806	290000	-20.35	-20.05
1413.1941120624542	300000	-20.39	-20.05
1466.808881521225	310000	-20.33	-20.05
1521.7316682338715	320000	-20.36	-20.05
1576.8134908676147	330000	-20.32	-20.05
1630.8274264335632	340000	-20.28	-20.05
1684.9141290187836	350000	-20.19	-20.05
1739.0160865783691	360000	-20.12	-20.05
1793.2948241233826	370000	-20.09	-20.05
1847.704185962677	380000	-20.06	-20.05
1902.1791870594025	390000	-20.05	-20.04
1956.7693293094635	400000	-20.0	-19.99
2011.5044589042664	410000	-19.99	-19.99
2066.3007957935333	420000	-19.93	-19.92
2121.116664171219	430000	-19.92	-19.89
2176.199359893799	440000	-19.97	-19.89
2231.344274044037	450000	-19.95	-19.89
2286.574631214142	460000	-19.89	-19.88
2341.8665816783905	470000	-19.78	-19.78
2397.211350917816	480000	-19.73	-19.71
2452.7364225387573	490000	-19.66	-19.64
2510.455826282501	500000	-19.58	-19.57
2566.330912590027	510000	-19.55	-19.55
2622.247576713562	520000	-19.53	-19.52
2678.228185415268	530000	-19.51	-19.51
2734.3113915920258	540000	-19.41	-19.41
2790.4943075180054	550000	-19.32	-19.31
2846.790819168091	560000	-19.2	-19.2
2903.2111678123474	570000	-19.19	-19.18
2959.6171424388885	580000	-19.13	-19.13
3016.0999014377594	590000	-19.04	-19.04
3072.177998304367	600000	-18.97	-18.97
3128.3118648529053	610000	-18.9	-18.88
3184.4865407943726	620000	-18.64	-18.64
3240.8299243450165	630000	-18.55	-18.55
3297.2375271320343	640000	-18.4	-18.4
3353.692939043045	650000	-18.29	-18.27
3410.3800299167633	660000	-17.98	-17.98
3467.3028910160065	670000	-17.86	-17.86
3524.353485107422	680000	-17.8	-17.8
3581.55641746521	690000	-17.69	-17.69
3638.6822867393494	700000	-17.58	-17.58
3695.9195008277893	710000	-17.36	-17.36
3753.2410173416138	720000	-17.25	-17.24
3810.616904735565	730000	-17.13	-17.13
3868.2222220897675	740000	-16.93	-16.93
3925.8942408561707	750000	-16.85	-16.82
3983.5526037216187	760000	-16.79	-16.74
4041.3841943740845	770000	-16.61	-16.61
4099.194498538971	780000	-16.46	-16.46
4157.129498958588	790000	-16.33	-16.33
4215.276413440704	800000	-16.33	-16.28
4273.383148431778	810000	-16.16	-16.16
4331.764981746674	820000	-16.05	-16.02
4390.317305326462	830000	-15.95	-15.86
4454.076396226883	840000	-15.81	-15.81
4514.2801077365875	850000	-15.8	-15.7
4574.528476715088	860000	-15.75	-15.7
4634.601393699646	870000	-15.49	-15.49
4694.209781885147	880000	-15.34	-15.34
4753.9243080616	890000	-15.21	-15.21
4813.756516218185	900000	-15.13	-15.13
4873.749507665634	910000	-15.05	-15.05
4933.83549952507	920000	-15.05	-14.95
4993.987512350082	930000	-14.91	-14.91
5054.398903608322	940000	-14.65	-14.65
5114.656611919403	950000	-14.63	-14.61
5175.110143899918	960000	-14.58	-14.55
5235.793964147568	970000	-14.52	-14.52
5296.565516471863	980000	-14.41	-14.41
5357.462820768356	990000	-14.16	-14.16
5418.30260181427	1000000	-14.09	-14.07
5479.293576955795	1010000	-13.96	-13.96
5540.383277177811	1020000	-13.92	-13.92
5601.297741174698	1030000	-13.68	-13.68
5662.216684818268	1040000	-13.53	-13.53
5723.2282729148865	1050000	-13.48	-13.43
5784.261740207672	1060000	-13.43	-13.43
5845.262974023819	1070000	-13.24	-13.24
5906.294755935669	1080000	-13.22	-13.2
5967.2241315841675	1090000	-13.17	-13.13
6028.160194396973	1100000	-12.98	-12.98
6089.1673147678375	1110000	-12.89	-12.87
6150.081476688385	1120000	-12.86	-12.86
6211.055592775345	1130000	-12.78	-12.77
6272.088912963867	1140000	-12.6	-12.6
6333.118754863739	1150000	-12.65	-12.54
6394.033583641052	1160000	-12.5	-12.5
6455.042412281036	1170000	-12.44	-12.44
6516.079397916794	1180000	-12.2	-12.2
6577.230575084686	1190000	-12.08	-12.08
6638.269948720932	1200000	-12.05	-12.05
6699.361187458038	1210000	-11.94	-11.94
6760.295495271683	1220000	-11.79	-11.79
6821.440279960632	1230000	-11.62	-11.62
6882.597210645676	1240000	-11.55	-11.51
6943.793142318726	1250000	-11.56	-11.51
7004.875292778015	1260000	-11.41	-11.37
7066.011374950409	1270000	-11.19	-11.19
7127.130601882935	1280000	-11.11	-11.07
7188.300331830978	1290000	-11.08	-11.07
7249.363867521286	1300000	-10.83	-10.83
7310.43941617012	1310000	-10.76	-10.76
7371.595553398132	1320000	-10.58	-10.58
7432.760768413544	1330000	-10.42	-10.42
7494.014689922333	1340000	-10.34	-10.34
7555.242735624313	1350000	-9.89	-9.89
7616.451541185379	1360000	-9.75	-9.75
7677.696537017822	1370000	-9.74	-9.74
7739.004077672958	1380000	-9.52	-9.52
7800.18413734436	1390000	-9.35	-9.34
7861.319675922394	1400000	-9.2	-9.19
7922.589131355286	1410000	-9.05	-9.05
7983.745751619339	1420000	-8.94	-8.94
8045.070569515228	1430000	-8.76	-8.76
8106.320358514786	1440000	-8.43	-8.43
8167.47612118721	1450000	-8.29	-8.29
8228.769035339355	1460000	-7.95	-7.95
8290.066149711609	1470000	-7.88	-7.87
8351.32628583908	1480000	-7.74	-7.74
8412.723287820816	1490000	-7.53	-7.53
8473.93405342102	1500000	-7.39	-7.39
8535.221652507782	1510000	-7.15	-7.15
8596.505937337875	1520000	-6.98	-6.98
8657.862524747849	1530000	-6.87	-6.87
8719.25347852707	1540000	-6.58	-6.58
8780.557049751282	1550000	-6.4	-6.4
8841.84554719925	1560000	-6.22	-6.21
8903.106312990189	1570000	-6.04	-6.04
8964.48395562172	1580000	-5.86	-5.86
9031.17274594307	1590000	-5.71	-5.71
9092.509841680527	1600000	-5.58	-5.58
9153.882542848587	1610000	-5.55	-5.51
9215.298049211502	1620000	-5.28	-5.28
9276.627139806747	1630000	-5.13	-5.13
9337.978739500046	1640000	-4.98	-4.98
9399.244606733322	1650000	-4.74	-4.74
9460.690960884094	1660000	-4.63	-4.63
9522.117819547653	1670000	-4.48	-4.48
9583.51248049736	1680000	-4.45	-4.45
9644.857070684433	1690000	-4.34	-4.34
9706.320904016495	1700000	-4.17	-4.17
9767.6514377594	1710000	-4.09	-4.09
9829.108231544495	1720000	-3.84	-3.84
9890.515861988068	1730000	-3.85	-3.84
9952.033388376236	1740000	-3.72	-3.72
10013.436886310577	1750000	-3.49	-3.49
10074.995199680328	1760000	-3.45	-3.37
10136.475382328033	1770000	-3.24	-3.24
10197.922504663467	1780000	-3.29	-3.24
10259.553951501846	1790000	-3.06	-3.06
10321.12816119194	1800000	-2.76	-2.76
10382.63798904419	1810000	-2.72	-2.71
10444.111284971237	1820000	-2.55	-2.52
10505.566802740097	1830000	-2.36	-2.36
10567.080894470215	1840000	-2.12	-2.12
10628.586691379547	1850000	-1.98	-1.98
10690.030044794083	1860000	-1.79	-1.75
10751.552406549454	1870000	-1.62	-1.62
10813.098671674728	1880000	-1.22	-1.22
10874.596331596375	1890000	-1.13	-1.12
10936.17261505127	1900000	-0.88	-0.88
10997.809948682785	1910000	-0.75	-0.75
11059.430250644684	1920000	-0.56	-0.56
11121.06135058403	1930000	-0.44	-0.4
11182.636995315552	1940000	-0.21	-0.21
11244.353775262833	1950000	-0.06	-0.06
11306.038059711456	1960000	0.13	0.13
11367.665513277054	1970000	0.33	0.33
11429.278341054916	1980000	0.68	0.68
11490.960714817047	1990000	0.95	0.95
11552.548548698425	2000000	1.26	1.26
11614.251544713974	2010000	1.3	1.3
11675.918227434158	2020000	1.53	1.53
11737.574811458588	2030000	1.69	1.69
11799.205130577087	2040000	1.78	1.78
11860.83631491661	2050000	1.93	1.93
11922.46397447586	2060000	2.03	2.03
11984.110200881958	2070000	2.36	2.36
12045.748973608017	2080000	2.6	2.6
12107.456778287888	2090000	2.91	2.91
12169.118476390839	2100000	3.35	3.35
12230.824542045593	2110000	3.58	3.58
12292.550525188446	2120000	3.87	3.87
12354.30942440033	2130000	4.17	4.17
12416.155760526657	2140000	4.63	4.63
12477.99846315384	2150000	4.82	4.82
12539.693966388702	2160000	5.05	5.05
12601.470542430878	2170000	5.31	5.31
12663.25829577446	2180000	5.66	5.66
12725.080295085907	2190000	5.84	5.84
12786.942321777344	2200000	5.81	5.9
12848.770702838898	2210000	5.91	5.91
12910.648777008057	2220000	6.17	6.17
12972.48710846901	2230000	6.19	6.19
13034.281688451767	2240000	6.38	6.38
13096.486651182175	2250000	6.55	6.55
13158.300148010254	2260000	6.7	6.7
13220.063032865524	2270000	6.85	6.85
13281.90967798233	2280000	6.93	6.93
13343.777180671692	2290000	7.16	7.16
13405.724739074707	2300000	7.27	7.27
13467.622891902924	2310000	7.81	7.81
13529.42648601532	2320000	7.96	7.96
13591.339332342148	2330000	8.21	8.21
13653.306125879288	2340000	8.48	8.48
13715.25468492508	2350000	8.95	8.95
13777.204958438873	2360000	9.11	9.11
13839.070896625519	2370000	9.23	9.23
13900.989140987396	2380000	9.69	9.69
13962.905171871185	2390000	10.05	10.05
14024.877895593643	2400000	10.59	10.59
14086.790464162827	2410000	10.78	10.79
14148.700077056885	2420000	10.93	10.93
14210.737163305283	2430000	11.09	11.09
14272.694373846054	2440000	11.23	11.23
14334.69317483902	2450000	11.49	11.49
14396.65524983406	2460000	11.53	11.53
14458.667401313782	2470000	11.59	11.59
14520.730198383331	2480000	11.93	11.93
14582.798382520676	2490000	12.33	12.33
14644.75872707367	2500000	12.59	12.59
14706.684094190598	2510000	12.89	12.89
14768.634647846222	2520000	13.07	13.07
14830.551193237305	2530000	13.43	13.43
14892.481406211853	2540000	13.56	13.56
14954.44065952301	2550000	13.89	13.89
15016.410959005356	2560000	14.27	14.27
15078.4143242836	2570000	14.54	14.54
