TotalTime	Timestep	MeanEpisodeReward	MaxMeanReturn
138.51824688911438	60000	-20.303030303030305	-inf
188.61886429786682	70000	-20.236842105263158	-inf
238.6937243938446	80000	-20.261363636363637	-inf
288.8710021972656	90000	-20.244897959183675	-inf
339.2076361179352	100000	-20.21	-20.18
389.5588929653168	110000	-20.22	-20.17
442.1246454715729	120000	-20.21	-20.17
492.7569613456726	130000	-20.24	-20.17
543.4760451316833	140000	-20.22	-20.17
594.3418328762054	150000	-20.14	-20.13
645.2680859565735	160000	-20.14	-20.1
696.3171446323395	170000	-20.15	-20.1
747.5144090652466	180000	-20.1	-20.1
798.8342950344086	190000	-20.19	-20.1
851.8346667289734	200000	-20.23	-20.1
903.98725938797	210000	-20.15	-20.1
956.1691596508026	220000	-20.17	-20.1
1008.4324769973755	230000	-20.15	-20.1
1060.1520900726318	240000	-20.22	-20.1
1112.1081433296204	250000	-20.19	-20.1
1164.191489458084	260000	-20.2	-20.1
1216.3465158939362	270000	-20.24	-20.1
1268.7100901603699	280000	-20.2	-20.1
1321.2137587070465	290000	-20.16	-20.1
1373.8138558864594	300000	-20.13	-20.08
1426.5169820785522	310000	-20.18	-20.08
1481.1418950557709	320000	-20.17	-20.08
1534.5103340148926	330000	-20.26	-20.08
1587.5809173583984	340000	-20.26	-20.08
1640.699641942978	350000	-20.24	-20.08
1693.854560136795	360000	-20.21	-20.08
1747.2079544067383	370000	-20.17	-20.08
1800.654727935791	380000	-20.17	-20.08
1854.1696388721466	390000	-20.18	-20.08
1907.7722673416138	400000	-20.19	-20.08
1961.5273487567902	410000	-20.18	-20.08
2015.4814310073853	420000	-20.15	-20.08
2069.3974912166595	430000	-20.07	-20.05
2123.3607161045074	440000	-20.1	-20.03
2177.674217939377	450000	-20.08	-20.03
2232.0277240276337	460000	-20.07	-20.03
2286.457763671875	470000	-20.03	-20.03
2340.957025527954	480000	-20.04	-20.03
2397.362471342087	490000	-20.07	-20.0
2452.0082178115845	500000	-20.04	-20.0
2506.837282180786	510000	-19.97	-19.96
2561.7180728912354	520000	-19.89	-19.88
2616.671468734741	530000	-19.8	-19.8
2671.78906750679	540000	-19.71	-19.71
2727.0490515232086	550000	-19.63	-19.62
2782.4151060581207	560000	-19.52	-19.5
2837.8721075057983	570000	-19.44	-19.43
2893.4719562530518	580000	-19.34	-19.34
2949.1353073120117	590000	-19.27	-19.27
3004.9764144420624	600000	-19.24	-19.22
3060.98153591156	610000	-19.14	-19.14
3117.0343186855316	620000	-18.94	-18.94
3173.2146203517914	630000	-18.84	-18.84
3229.2604954242706	640000	-18.79	-18.79
3285.605751514435	650000	-18.74	-18.74
3341.9654564857483	660000	-18.67	-18.67
3398.4907052516937	670000	-18.62	-18.62
3455.0945501327515	680000	-18.54	-18.54
3511.83469748497	690000	-18.58	-18.54
