,Itr,ReturnAvg,ReturnStd,ReturnMin,ReturnMax,TrainingLossStart,TrainingLossFinal
0,-1,-156.99592431283585,28.66664233467265,-220.52512762225382,-115.93976510255803,,
1,0,18.014285538729084,24.35369314533439,-12.626313976349342,69.74396964530267,1.0498912334442139,0.02808418683707714
2,1,80.21322535964144,18.652729825851846,48.235210403573134,104.29034577836478,0.04537618160247803,0.018673120066523552
3,2,132.88278845682902,37.81313666988385,75.81558894955371,192.83050964701272,0.02186788059771061,0.01560837309807539
4,3,185.88780013653815,31.99754867610127,117.92162400410052,226.91874030263423,0.014839200302958488,0.017317935824394226
5,4,222.95643080163927,38.30026368351664,168.89906745823808,297.92260439243614,0.012945127673447132,0.007767076138406992
6,5,276.20389014763225,50.263784583850644,192.6028513650723,358.0919866019566,0.010651781223714352,0.008502890355885029
7,6,298.6162046677074,53.98241620983296,221.58787549383615,409.3690928270262,0.007017429918050766,0.008148716762661934
8,7,272.3186708883568,37.0323423413524,238.25444013738132,339.58671386143277,0.007075971458107233,0.006396507378667593
9,8,303.6618708035729,44.45094589453583,240.091696674136,389.19205786662917,0.00782671570777893,0.005564742721617222
10,9,316.82227743932833,29.921474364583663,268.0056980682523,371.00067818296793,0.005458754487335682,0.00592840276658535
11,10,353.48996172781295,46.72304825407978,289.23321134643254,424.63497392656,0.005756358616054058,0.005921403411775827
