,Itr,ReturnAvg,ReturnStd,ReturnMin,ReturnMax,TrainingLossStart,TrainingLossFinal
0,-1,-153.2819928309998,21.831687592648265,-181.73704309941388,-118.14818450952117,,
1,0,18.63717550096495,26.592837462860047,-36.13848733287645,60.523423697965825,1.0670875310897827,0.0259856004267931
2,1,116.55012540779276,15.981663828673334,97.87385621797102,144.50599965317744,0.04735889285802841,0.023569662123918533
3,2,197.5913562244592,24.196983331497293,152.23503340616307,241.44494872963165,0.02868564799427986,0.030364349484443665
4,3,259.31889777061065,30.76835543313099,202.34862426716174,305.81049906813894,0.019525961950421333,0.009957592003047466
5,4,345.9442227535494,36.61637000089255,278.1098035544002,406.10395541292996,0.014047667384147644,0.01188167929649353
6,5,382.3936654508752,34.12280755331226,334.73733056153264,439.9248316163561,0.01208825595676899,0.008534332737326622
7,6,369.3881794280944,36.49414505855633,302.7905217315294,442.9964488753845,0.012280252762138844,0.011576011776924133
8,7,334.11737321394617,34.96787272209252,271.10744092095337,377.57330639185585,0.008865308947861195,0.005830032285302877
9,8,424.36450678948694,32.67725693920135,358.2938721323889,474.0310448000686,0.008724652230739594,0.007571524940431118
10,9,394.3027544393726,63.47548582796464,311.90585475427645,512.6902067259932,0.008245539851486683,0.007152743637561798
11,10,353.1487656832369,30.99053419591122,300.50503966280183,411.1752380325752,0.009807780385017395,0.00740909855812788
