,Itr,ReturnAvg,ReturnStd,ReturnMin,ReturnMax,TrainingLossStart,TrainingLossFinal
0,-1,-160.45963468660858,41.58608391683113,-249.09881490873966,-80.94409366793383,,
1,0,1.9403081829953632,20.68586803634556,-29.457409727936096,31.608402706645172,1.0290453433990479,0.0270327627658844
2,1,78.06918171249006,28.780433952287133,36.32821545725494,123.60508895303457,0.03606850653886795,0.01867830567061901
3,2,168.26356565359526,24.807268486226516,127.6150934233527,204.398593353327,0.043239522725343704,0.019641350954771042
4,3,214.5343741857479,26.422728688061316,191.98378561443675,284.4309124070046,0.018736522644758224,0.010072765871882439
5,4,244.21005216906104,46.6482108022368,176.7419105141605,329.45682415551397,0.016087794676423073,0.009836333803832531
6,5,237.54183203610629,42.44225490388796,151.54816328923528,302.08163125702265,0.011320462450385094,0.007785648573189974
7,6,282.80743989378396,32.855966738733606,228.84585260116228,343.49703999985826,0.01037625316530466,0.006748332176357508
8,7,269.15497676115643,23.737953278473988,233.02294627201059,307.76210201100434,0.00869577657431364,0.005015475209802389
9,8,296.65704200263735,44.21386236535271,219.74093008989985,368.3418179172054,0.009512858465313911,0.006940905936062336
10,9,317.43882133425865,45.76632859379104,212.48980932047039,380.646613979539,0.006794943008571863,0.006852217484265566
11,10,370.9840244078612,40.27228334270614,280.82896706781526,414.61999176909535,0.006417806260287762,0.004675267264246941
